State,Year,Gross_Enrollment_Primary,Gross_Enrollment_Secondary,Gross_Enrollment_Higher,Literacy_Rate_Youth,Literacy_Rate_Adult,Dropout_Rate_Primary,Dropout_Rate_Secondary,Education_Expenditure_GDP
Andhra Pradesh,2005,95.12,50.68,77.03,91.46,86.86,3.06,10.81,7.79
Andhra Pradesh,2005,95.20,53.93,42.10,77.77,66.79,6.00,10.25,3.45
Andhra Pradesh,2005,85.27,63.41,25.35,93.22,96.63,6.54,12.27,5.81
Andhra Pradesh,2005,88.90,82.24,77.44,70.61,97.87,7.10,23.08,5.65
Andhra Pradesh,2005,81.87,55.67,46.78,82.75,59.69,14.16,10.69,4.75
Andhra Pradesh,2005,79.23,72.02,29.60,66.83,87.40,10.33,13.52,2.76
Andhra Pradesh,2005,97.92,71.54,37.13,90.22,92.09,6.82,15.18,4.88
Andhra Pradesh,2005,77.43,58.32,29.97,73.96,61.05,10.56,7.90,4.63
Andhra Pradesh,2006,71.96,53.68,23.19,93.42,81.58,2.84,14.78,4.03
Andhra Pradesh,2006,84.43,64.15,23.96,90.24,92.23,14.27,6.47,6.57
Andhra Pradesh,2006,77.59,83.40,18.55,86.46,66.84,12.00,26.58,4.51
Andhra Pradesh,2006,82.51,66.24,26.90,95.41,57.11,10.26,27.25,7.52
Andhra Pradesh,2006,94.52,62.45,74.96,89.11,87.69,,19.57,7.02
Andhra Pradesh,2006,98.17,51.95,54.94,88.58,55.15,2.62,24.62,4.62
Andhra Pradesh,2006,95.47,76.43,25.48,65.52,83.64,9.15,21.27,6.97
Andhra Pradesh,2006,98.20,74.54,54.99,96.74,94.72,9.44,12.44,7.98
Andhra Pradesh,2006,86.80,68.71,72.74,81.40,89.53,12.92,25.61,6.47
Andhra Pradesh,2006,73.44,87.91,47.38,69.33,55.54,4.07,23.77,6.41
Andhra Pradesh,2007,78.44,85.68,46.77,89.87,68.31,6.51,26.03,2.69
Andhra Pradesh,2007,82.97,78.26,22.98,82.48,97.28,5.06,23.06,4.89
Andhra Pradesh,2007,84.11,94.10,27.69,86.64,,9.35,20.38,5.26
Andhra Pradesh,2007,94.81,57.84,41.86,91.20,97.04,14.36,27.48,3.37
Andhra Pradesh,2007,81.31,67.75,44.89,87.31,62.52,2.30,8.53,4.92
Andhra Pradesh,2007,73.20,91.29,73.20,95.90,85.50,3.39,15.95,3.22
Andhra Pradesh,2007,87.56,85.07,74.84,90.69,82.38,8.06,20.14,3.02
Andhra Pradesh,2007,71.20,91.40,46.80,94.53,91.13,12.60,6.54,3.86
Andhra Pradesh,2007,83.74,69.80,26.38,97.93,60.23,,21.52,3.84
Andhra Pradesh,2007,70.17,72.72,46.72,70.55,73.74,7.35,27.26,2.55
Andhra Pradesh,2008,74.56,52.10,49.98,72.99,64.46,5.19,21.25,5.54
Andhra Pradesh,2008,93.74,53.65,72.83,84.66,95.63,3.93,29.84,6.04
Andhra Pradesh,2008,70.71,92.28,56.86,68.12,51.01,2.66,20.23,5.88
Andhra Pradesh,2008,85.95,73.23,16.26,74.60,52.55,13.70,23.13,7.98
Andhra Pradesh,2008,88.09,70.39,29.47,90.11,93.40,5.06,9.38,6.33
Andhra Pradesh,2008,78.54,68.90,39.98,93.97,87.03,9.66,11.87,7.66
Andhra Pradesh,2008,87.40,86.95,67.85,76.47,96.27,2.29,24.22,7.81
Andhra Pradesh,2008,86.87,84.27,71.30,85.50,89.16,6.06,10.71,4.87
Andhra Pradesh,2008,90.41,67.73,66.71,66.25,82.06,10.45,28.52,6.42
Andhra Pradesh,2008,90.25,63.06,71.54,90.42,70.37,11.24,26.69,7.87
Andhra Pradesh,2009,82.65,54.93,31.09,95.00,67.32,10.07,21.65,6.80
Andhra Pradesh,2009,83.45,66.42,78.89,93.39,73.02,13.43,13.69,6.82
Andhra Pradesh,2009,83.69,54.84,32.76,78.68,85.97,2.95,21.49,6.44
Andhra Pradesh,2009,75.35,76.42,76.17,85.77,79.34,,13.33,6.35
Andhra Pradesh,2009,96.10,59.84,44.64,93.98,89.55,13.60,28.51,4.96
Andhra Pradesh,2009,80.52,69.42,63.30,82.05,89.07,11.69,5.51,5.97
Andhra Pradesh,2009,94.55,74.64,72.57,89.24,76.54,11.81,5.96,2.65
Andhra Pradesh,2009,77.06,94.29,50.25,87.52,63.38,6.18,13.39,6.34
Andhra Pradesh,2009,87.76,84.60,20.87,91.41,77.04,10.70,13.19,4.75
Andhra Pradesh,2009,84.91,94.82,46.84,72.47,74.36,2.51,27.62,7.00
Andhra Pradesh,2010,87.40,94.85,33.07,91.51,77.91,14.69,25.70,7.99
Andhra Pradesh,2010,85.11,82.00,65.33,65.02,74.24,5.06,26.87,3.34
Andhra Pradesh,2010,80.70,92.33,30.63,68.23,53.33,8.56,21.04,4.30
Andhra Pradesh,2010,95.72,86.75,79.06,96.84,67.10,7.19,23.65,3.24
Andhra Pradesh,2010,83.65,74.84,28.73,65.91,84.53,2.26,29.34,3.72
Andhra Pradesh,2010,71.79,71.25,48.59,94.06,85.15,3.03,10.23,4.22
Andhra Pradesh,2010,99.53,73.16,63.22,88.22,90.80,4.80,23.85,7.35
Andhra Pradesh,2010,99.10,85.14,33.37,84.17,69.41,8.37,13.88,4.04
Andhra Pradesh,2010,96.22,56.99,68.49,73.66,70.51,13.72,16.36,3.58
Andhra Pradesh,2010,92.88,94.87,66.18,94.82,85.90,13.64,6.91,7.61
Andhra Pradesh,2011,72.27,82.19,62.82,98.89,86.91,6.97,18.93,4.52
Andhra Pradesh,2011,76.66,74.70,73.90,96.03,52.63,3.04,11.13,3.90
Andhra Pradesh,2011,87.63,76.02,50.32,76.51,83.91,12.74,13.66,2.97
Andhra Pradesh,2011,84.02,57.02,45.08,72.51,,2.36,18.87,3.43
Andhra Pradesh,2011,90.15,54.45,58.16,85.80,72.72,7.45,27.18,3.85
Andhra Pradesh,2011,93.14,91.24,70.24,92.12,,11.06,23.78,7.91
Andhra Pradesh,2011,92.17,91.30,72.45,93.63,95.40,8.99,5.17,2.56
Andhra Pradesh,2011,83.54,68.02,74.65,77.21,91.10,13.74,17.49,4.96
Andhra Pradesh,2011,79.86,54.61,32.22,69.45,64.15,5.40,20.94,7.75
Andhra Pradesh,2011,93.52,82.75,41.91,76.04,90.62,13.77,16.30,2.55
Andhra Pradesh,2012,70.30,86.22,48.63,88.30,93.91,9.04,17.58,4.10
Andhra Pradesh,2012,83.47,57.36,21.14,81.08,72.32,10.49,16.78,3.29
Andhra Pradesh,2012,74.78,81.04,53.60,90.45,57.23,14.24,20.52,7.16
Andhra Pradesh,2012,93.43,67.88,39.96,87.37,54.48,11.56,6.07,3.55
Andhra Pradesh,2012,99.16,89.08,55.71,92.85,92.60,5.37,26.24,3.57
Andhra Pradesh,2012,91.42,51.36,33.88,85.69,67.15,12.08,21.29,3.79
Andhra Pradesh,2012,83.51,57.60,36.21,75.30,55.19,9.11,24.09,5.67
Andhra Pradesh,2012,83.07,77.42,58.94,88.66,84.99,10.47,7.36,6.32
Andhra Pradesh,2012,90.80,80.91,48.46,94.51,97.85,12.13,20.31,2.93
Andhra Pradesh,2012,93.27,55.60,57.49,75.05,,5.12,22.10,4.12
Andhra Pradesh,2013,73.40,79.67,75.16,97.95,61.32,12.52,13.84,7.45
Andhra Pradesh,2013,82.21,65.18,66.04,78.95,82.86,9.83,29.39,7.66
Andhra Pradesh,2013,94.88,90.45,19.43,75.27,65.37,7.65,9.23,5.23
Andhra Pradesh,2013,89.97,52.99,71.94,96.93,79.66,13.46,8.29,6.89
Andhra Pradesh,2013,79.71,76.35,34.60,86.67,67.63,13.19,20.85,3.68
Andhra Pradesh,2013,81.59,74.11,57.18,76.83,64.11,8.18,10.37,4.06
Andhra Pradesh,2013,79.62,93.28,53.33,91.77,52.18,3.38,25.36,5.93
Andhra Pradesh,2013,86.16,87.96,18.93,85.29,84.42,14.71,25.18,4.02
Andhra Pradesh,2013,91.89,86.91,73.74,68.35,55.03,12.35,11.31,2.82
Andhra Pradesh,2013,73.80,80.23,15.24,68.73,66.84,3.09,26.15,7.25
Andhra Pradesh,2014,85.70,58.29,33.28,82.54,85.28,3.23,12.42,7.60
Andhra Pradesh,2014,99.74,73.70,33.72,91.89,57.65,5.28,24.62,4.89
Andhra Pradesh,2014,91.98,55.63,33.00,72.52,,11.92,22.84,6.14
Andhra Pradesh,2014,76.70,62.24,24.52,78.95,53.61,11.75,24.69,5.66
Andhra Pradesh,2014,98.97,59.11,60.80,93.63,75.91,6.20,16.96,5.32
Andhra Pradesh,2014,92.32,60.86,53.06,88.42,56.73,6.66,27.64,5.62
Andhra Pradesh,2014,85.55,74.65,36.74,86.43,53.30,3.89,18.66,2.84
Andhra Pradesh,2014,90.22,67.60,40.99,91.01,73.97,11.43,17.63,5.76
Andhra Pradesh,2014,88.47,85.51,76.69,77.81,77.70,3.12,13.97,4.77
Andhra Pradesh,2014,91.93,50.86,45.19,95.64,60.77,2.41,15.84,6.37
Andhra Pradesh,2015,90.09,61.45,63.87,70.21,69.00,10.53,25.71,6.85
Andhra Pradesh,2015,73.67,59.76,71.21,94.15,95.67,2.99,18.42,6.07
Andhra Pradesh,2015,93.10,66.18,26.66,71.96,50.57,6.55,7.29,4.27
Andhra Pradesh,2015,95.19,61.37,23.72,71.56,96.61,9.14,9.56,7.12
Andhra Pradesh,2015,77.82,67.69,47.82,95.35,91.70,9.47,10.54,4.72
Andhra Pradesh,2015,93.43,70.24,49.58,79.58,83.74,13.07,17.68,5.14
Andhra Pradesh,2015,98.18,64.22,67.04,89.32,87.96,14.18,20.58,7.44
Andhra Pradesh,2015,93.17,62.22,63.15,91.47,89.90,6.07,22.04,4.17
Andhra Pradesh,2015,87.93,68.71,25.53,71.05,53.72,10.03,26.22,2.61
Andhra Pradesh,2015,92.13,57.10,32.66,72.89,69.15,4.92,13.81,6.51
Andhra Pradesh,2016,89.13,71.47,75.75,74.84,84.86,11.50,10.54,7.47
Andhra Pradesh,2016,74.38,61.60,53.10,75.85,,6.86,21.01,5.18
Andhra Pradesh,2016,82.66,65.38,21.12,72.49,60.74,14.16,15.81,2.73
Andhra Pradesh,2016,87.67,58.40,47.41,77.58,88.59,6.17,16.46,6.47
Andhra Pradesh,2016,89.85,68.47,47.76,97.88,81.76,13.76,9.47,5.16
Andhra Pradesh,2016,99.03,54.37,73.67,80.14,53.54,13.43,11.30,2.62
Andhra Pradesh,2016,99.33,55.02,45.03,71.14,85.76,3.53,11.00,3.58
Andhra Pradesh,2016,85.33,52.62,51.62,92.12,56.34,2.95,9.70,6.60
Andhra Pradesh,2016,77.48,64.95,77.78,73.18,93.28,9.55,8.08,5.07
Andhra Pradesh,2016,95.90,61.54,52.11,93.69,94.19,8.32,20.99,2.52
Andhra Pradesh,2017,72.80,62.59,35.87,97.94,82.09,7.54,29.70,3.34
Andhra Pradesh,2017,71.67,82.26,21.49,69.77,57.67,14.08,22.08,6.10
Andhra Pradesh,2017,88.63,68.46,24.45,88.45,56.22,4.48,25.44,6.13
Andhra Pradesh,2017,81.89,81.06,63.10,82.35,96.52,14.42,15.31,7.01
Andhra Pradesh,2017,71.65,75.83,73.54,91.52,87.74,4.08,13.96,3.78
Andhra Pradesh,2017,80.94,75.23,43.50,74.74,54.58,13.59,5.28,2.51
Andhra Pradesh,2017,91.81,50.69,29.73,98.04,,9.37,10.92,2.58
Andhra Pradesh,2017,70.65,94.71,26.92,89.16,57.44,9.02,7.02,6.72
Andhra Pradesh,2017,95.46,74.62,74.90,96.17,94.18,3.01,8.02,7.93
Andhra Pradesh,2017,93.09,61.89,62.27,93.47,87.64,5.56,15.04,4.77
Andhra Pradesh,2018,83.57,72.99,49.56,92.88,74.83,5.00,21.58,6.89
Andhra Pradesh,2018,74.41,65.39,74.10,95.98,77.62,11.13,26.35,7.77
Andhra Pradesh,2018,82.47,53.24,42.48,91.88,88.63,13.60,6.29,5.40
Andhra Pradesh,2018,97.01,72.36,64.31,67.19,70.01,10.77,8.34,4.29
Andhra Pradesh,2018,99.13,87.22,78.35,93.75,91.05,9.50,17.96,4.73
Andhra Pradesh,2018,71.69,92.66,15.25,98.21,84.98,6.27,22.45,7.00
Andhra Pradesh,2018,94.13,61.22,17.73,71.94,59.63,2.85,23.15,4.59
Andhra Pradesh,2018,83.60,78.76,72.04,82.84,67.93,13.27,12.76,2.94
Andhra Pradesh,2018,70.92,76.36,53.64,96.57,63.75,5.62,16.01,4.46
Andhra Pradesh,2018,92.77,86.90,74.99,79.65,97.27,4.80,22.86,5.44
Andhra Pradesh,2019,93.52,91.86,62.60,91.39,53.22,4.66,29.36,6.31
Andhra Pradesh,2019,71.33,66.61,47.43,72.19,58.31,8.61,19.65,3.82
Andhra Pradesh,2019,84.20,88.58,75.27,68.14,54.60,8.19,19.70,4.84
Andhra Pradesh,2019,70.06,93.56,30.09,96.18,,5.10,10.87,7.98
Andhra Pradesh,2019,96.09,80.25,38.58,97.58,92.89,7.64,19.33,7.82
Andhra Pradesh,2019,95.42,63.59,39.17,70.60,60.04,10.54,17.77,3.77
Andhra Pradesh,2019,99.62,88.41,40.22,96.07,66.45,10.68,29.17,4.65
Andhra Pradesh,2019,77.99,75.84,78.65,80.41,95.01,13.89,11.34,4.71
Andhra Pradesh,2019,72.88,94.72,63.92,79.88,79.67,3.14,17.38,7.62
Andhra Pradesh,2019,85.94,81.38,37.10,67.21,74.26,9.82,5.15,3.03
Andhra Pradesh,2020,86.23,63.22,32.95,94.56,56.96,8.44,28.82,5.94
Andhra Pradesh,2020,70.60,79.08,56.08,68.75,72.18,13.90,10.13,5.04
Andhra Pradesh,2020,94.74,84.17,38.75,67.45,66.78,10.84,22.57,7.81
Andhra Pradesh,2020,86.18,56.78,44.98,83.52,95.64,6.77,29.50,5.48
Andhra Pradesh,2020,74.25,70.38,16.43,80.13,97.44,10.71,23.99,3.15
Andhra Pradesh,2020,96.82,58.16,44.82,84.99,74.67,12.79,10.79,4.58
Andhra Pradesh,2020,82.06,51.32,63.97,98.05,,13.14,17.92,3.77
Andhra Pradesh,2020,84.79,85.19,60.15,98.59,74.50,7.55,12.17,5.12
Andhra Pradesh,2020,99.34,94.70,53.86,76.27,60.71,5.59,6.25,5.11
Andhra Pradesh,2020,81.16,58.97,50.42,98.11,83.37,8.39,24.42,6.56
Andhra Pradesh,2021,95.77,63.55,76.16,74.56,94.49,14.53,8.64,7.86
Andhra Pradesh,2021,83.33,94.71,46.76,83.71,83.33,14.59,24.58,3.73
Andhra Pradesh,2021,89.33,58.13,31.73,95.20,65.68,9.37,14.94,2.91
Andhra Pradesh,2021,96.87,64.60,39.65,91.62,86.43,12.38,28.84,6.88
Andhra Pradesh,2021,85.26,62.50,34.69,72.61,56.96,4.40,6.58,7.39
Andhra Pradesh,2021,95.21,58.26,73.61,82.22,53.22,3.84,12.72,2.74
Andhra Pradesh,2021,77.08,61.96,79.63,73.01,61.48,10.93,26.48,4.63
Andhra Pradesh,2021,75.91,64.83,54.61,77.48,82.30,5.08,22.52,4.41
Andhra Pradesh,2021,90.59,60.74,69.34,89.54,61.24,14.67,21.62,4.99
Andhra Pradesh,2021,74.94,69.33,41.57,89.48,59.23,12.68,13.15,4.94
Andhra Pradesh,2022,79.24,67.38,34.88,85.22,65.97,11.43,19.49,3.30
Andhra Pradesh,2022,81.71,73.22,47.94,90.65,59.08,14.30,13.57,4.15
Andhra Pradesh,2022,81.35,83.61,72.44,91.07,51.64,12.76,24.36,6.18
Andhra Pradesh,2022,82.93,53.03,44.96,66.58,64.12,9.63,12.74,6.27
Andhra Pradesh,2022,97.00,53.59,69.61,93.17,65.46,5.88,12.63,6.96
Andhra Pradesh,2022,87.78,56.25,45.47,98.96,57.62,14.32,25.61,7.85
Andhra Pradesh,2022,70.51,82.61,56.87,71.05,87.97,5.89,8.37,4.82
Andhra Pradesh,2022,81.14,88.33,66.52,80.05,84.78,9.39,13.52,6.49
Andhra Pradesh,2022,88.54,80.73,40.00,94.55,57.79,13.49,13.56,3.19
Andhra Pradesh,2022,94.46,69.39,58.46,75.48,60.05,7.04,20.17,6.11
Andhra Pradesh,2023,90.73,91.92,22.67,67.09,64.93,3.78,18.15,5.35
Andhra Pradesh,2023,99.14,89.52,22.69,76.51,62.28,4.30,18.62,5.54
Andhra Pradesh,2023,91.99,50.94,40.72,95.26,74.98,6.52,11.34,3.84
Andhra Pradesh,2023,72.60,63.15,17.97,91.57,51.89,6.01,19.33,4.75
Andhra Pradesh,2023,93.93,93.83,37.62,66.33,51.76,11.87,18.81,6.81
Andhra Pradesh,2023,96.57,85.47,45.89,75.48,74.34,8.53,20.26,3.52
Andhra Pradesh,2023,88.61,60.78,43.24,72.15,92.01,8.34,10.62,2.73
Andhra Pradesh,2023,99.69,74.02,33.78,87.36,63.21,12.66,12.71,7.94
Andhra Pradesh,2023,72.18,65.67,62.94,87.27,59.32,6.63,11.59,5.87
Andhra Pradesh,2023,76.22,68.41,27.71,97.73,57.42,13.87,15.71,4.58
Assam,2000,99.35,89.98,67.46,72.12,57.51,7.78,20.49,7.18
Assam,2000,89.42,70.05,44.52,72.65,97.36,8.18,18.32,3.70
Assam,2000,76.07,62.41,15.18,84.39,68.60,13.68,6.02,2.74
Assam,2000,70.06,58.05,68.55,92.29,66.33,10.68,17.68,7.48
Assam,2000,75.12,67.62,27.48,88.89,82.56,9.12,22.45,6.02
Assam,2000,82.87,56.82,42.92,88.86,83.19,11.22,12.72,6.14
Assam,2000,80.30,77.14,63.76,95.82,71.02,6.69,15.75,4.28
Assam,2000,73.78,75.24,73.35,68.40,,13.25,27.51,5.33
Assam,2000,87.60,55.57,24.71,91.25,86.03,12.96,7.64,3.59
Assam,2000,94.18,94.54,71.19,82.70,64.92,9.41,20.96,4.34
Assam,2001,93.38,51.44,47.37,94.29,54.15,8.73,8.98,7.42
Assam,2001,96.25,83.14,27.02,75.29,73.85,9.66,24.55,3.75
Assam,2001,74.74,81.22,52.42,90.20,53.04,14.54,5.00,4.29
Assam,2001,72.50,53.45,52.80,95.46,,9.85,13.65,2.60
Assam,2001,73.08,94.99,25.69,87.94,95.55,6.71,23.36,4.43
Assam,2001,94.63,61.58,33.41,98.96,65.71,7.50,29.75,4.53
Assam,2001,79.36,60.52,42.51,88.82,52.08,6.86,13.66,3.85
Assam,2001,88.20,72.70,29.12,74.06,58.19,2.74,20.48,6.20
Assam,2001,99.46,53.35,46.87,89.92,52.21,12.12,29.49,2.99
Assam,2001,74.32,72.19,19.65,82.75,50.93,11.47,17.20,5.02
Assam,2002,75.46,83.09,27.94,85.97,63.42,10.54,18.51,4.83
Assam,2002,94.64,82.83,50.14,94.82,89.79,8.91,6.71,5.61
Assam,2002,89.41,79.02,58.78,88.10,55.25,4.49,20.76,4.74
Assam,2002,75.75,75.13,47.55,74.06,69.60,2.45,5.93,3.02
Assam,2002,77.81,51.53,61.06,94.08,56.63,7.01,8.97,3.08
Assam,2002,90.34,94.32,43.24,95.53,59.84,3.53,22.56,4.54
Assam,2002,80.00,75.77,34.46,91.65,64.99,8.95,5.58,6.85
Assam,2002,76.46,61.81,52.47,83.64,63.15,11.02,27.23,2.74
Assam,2002,87.59,50.88,28.69,67.10,77.31,10.39,8.99,4.33
Assam,2002,75.84,74.67,65.89,93.21,82.00,5.89,25.58,6.58
Assam,2003,71.30,81.29,76.41,91.31,89.91,9.08,12.61,6.23
Assam,2003,98.40,66.52,17.58,95.89,57.70,11.07,26.83,4.21
Assam,2003,93.83,53.14,57.59,88.02,73.59,10.93,28.08,6.54
Assam,2003,85.85,61.87,79.06,66.87,67.21,5.87,14.66,7.55
Assam,2003,82.70,88.46,48.91,75.59,71.57,7.52,11.50,4.09
Assam,2003,88.73,67.40,61.30,98.56,68.10,8.01,9.10,4.66
Assam,2003,75.46,66.94,68.21,86.20,95.96,13.76,8.78,2.73
Assam,2003,85.47,56.03,23.11,66.59,90.84,14.32,7.89,3.67
Assam,2003,98.76,61.78,34.73,77.33,74.12,10.87,17.61,7.73
Assam,2003,80.03,66.99,61.07,96.60,84.38,12.09,23.77,4.27
Assam,2004,86.00,74.15,64.38,92.78,66.19,12.42,25.36,3.79
Assam,2004,72.79,75.85,74.06,66.21,89.67,8.58,26.52,7.14
Assam,2004,95.29,57.92,34.75,73.24,85.64,4.00,9.56,7.33
Assam,2004,74.18,67.95,33.40,65.33,63.66,6.93,7.31,5.62
Assam,2004,91.12,82.82,69.24,81.51,,13.88,18.78,4.95
Assam,2004,86.95,92.19,53.63,98.76,90.98,14.40,13.19,3.32
Assam,2004,76.34,84.41,52.83,68.72,,14.10,17.66,6.84
Assam,2004,98.41,72.48,36.95,86.99,93.98,4.30,15.09,3.36
Assam,2004,98.33,68.56,51.85,95.10,65.43,10.76,23.93,4.32
Assam,2004,80.70,61.99,78.27,82.07,91.11,4.54,28.49,6.87
Assam,2005,84.57,76.70,66.33,93.87,53.75,13.75,28.44,5.76
Assam,2005,86.46,86.77,67.96,67.95,79.14,8.28,28.65,4.13
Assam,2005,74.46,80.89,34.50,84.31,79.58,7.43,29.37,3.23
Assam,2005,88.93,68.33,21.31,97.21,69.97,6.45,16.17,3.69
Assam,2005,75.00,58.90,42.30,86.21,80.19,2.00,28.02,7.03
Assam,2005,89.94,57.56,68.11,70.49,65.65,8.38,19.86,5.58
Assam,2005,97.69,89.26,53.40,84.46,55.36,4.60,11.32,5.19
Assam,2005,73.78,69.77,25.57,90.54,57.99,8.27,22.34,3.76
Assam,2005,71.63,76.45,63.98,76.20,73.44,14.07,16.78,7.98
Assam,2005,89.58,89.25,21.01,74.53,56.34,14.13,15.67,7.51
Assam,2006,78.90,76.87,69.94,78.10,93.91,,22.34,6.55
Assam,2006,80.96,52.03,73.55,97.42,85.30,11.45,11.02,2.91
Assam,2006,90.45,85.08,41.61,69.91,88.16,7.90,25.67,4.91
Assam,2006,92.32,75.87,41.30,81.73,76.38,5.11,14.45,4.11
Assam,2006,75.20,67.71,40.06,74.72,97.93,2.96,21.07,3.46
Assam,2006,82.04,87.06,31.24,69.76,65.16,6.44,14.93,4.55
Assam,2006,77.37,50.84,46.83,80.24,52.88,3.74,17.75,3.79
Assam,2006,70.60,70.14,79.10,86.55,66.99,2.22,17.12,3.64
Assam,2006,77.96,53.10,64.08,84.91,90.42,5.38,21.32,3.15
Assam,2006,94.77,64.44,66.93,88.04,66.74,13.39,17.73,6.07
Assam,2007,95.44,63.26,17.38,94.91,89.60,6.77,9.64,6.22
Assam,2007,72.58,76.91,16.77,86.39,82.31,8.33,9.38,3.06
Assam,2007,89.27,50.06,61.22,89.23,71.34,6.46,26.06,6.82
Assam,2007,97.20,53.93,41.75,80.82,71.16,10.13,9.26,7.27
Assam,2007,70.08,78.35,41.81,82.17,85.70,4.95,10.12,6.37
Assam,2007,84.52,70.68,59.94,65.09,78.16,9.87,23.64,7.39
Assam,2007,73.07,65.16,19.45,92.30,88.74,7.42,11.49,3.15
